Year,Measure,Fishery,Value
1997,Landed value,Roe Herring,49
1997,Landings,Roe Herring,31.2
1997,Wholesale value,Roe Herring,97.8
1997,Landed value,Spawn on Kelp,17.7
1997,Landings,Spawn on Kelp,0.41
1997,Wholesale value,Spawn on Kelp,17.7
1997,Landed value,Total,66.9
1997,Landings,Total,31.91
1997,Wholesale value,Total,117.2
1998,Landed value,Food and Bait,1.7
1998,Landings,Food and Bait,0.6
1998,Wholesale value,Food and Bait,2.8
1998,Landed value,Roe Herring,26
1998,Landings,Roe Herring,32.9
1998,Wholesale value,Roe Herring,96
1998,Landed value,Spawn on Kelp,8.9
1998,Landings,Spawn on Kelp,0.4
1998,Wholesale value,Spawn on Kelp,8.9
1998,Landed value,Total,36.6
1998,Landings,Total,33.9
1998,Wholesale value,Total,107.7
1999,Landed value,Food and Bait,0.4
1999,Landings,Food and Bait,0.2
1999,Wholesale value,Food and Bait,3.4
1999,Landed value,Roe Herring,40.4
1999,Landings,Roe Herring,26.5
1999,Wholesale value,Roe Herring,108.8
1999,Landed value,Spawn on Kelp,7.8
1999,Landings,Spawn on Kelp,0.4
1999,Wholesale value,Spawn on Kelp,9.8
1999,Landed value,Total,48.6
1999,Landings,Total,27.1
1999,Wholesale value,Total,122
2000,Landed value,Food and Bait,0.7
2000,Landings,Food and Bait,0.2
2000,Wholesale value,Food and Bait,2.8
2000,Landed value,Roe Herring,39
2000,Landings,Roe Herring,27.2
2000,Wholesale value,Roe Herring,113.8
2000,Landed value,Spawn on Kelp,10.4
2000,Landings,Spawn on Kelp,0.38
2000,Wholesale value,Spawn on Kelp,12.5
2000,Landed value,Total,50.1
2000,Landings,Total,27.78
2000,Wholesale value,Total,129.1
2001,Landed value,Food and Bait,0.2
2001,Landings,Food and Bait,0.2
2001,Wholesale value,Food and Bait,2.5
2001,Landed value,Roe Herring,35.5
2001,Landings,Roe Herring,23.9
2001,Wholesale value,Roe Herring,97.3
2001,Landed value,Spawn on Kelp,10.5
2001,Landings,Spawn on Kelp,0.4
2001,Wholesale value,Spawn on Kelp,12.8
2001,Landed value,Total,46.2
2001,Landings,Total,24.5
2001,Wholesale value,Total,112.6
2002,Landed value,Food and Bait,0.4
2002,Landings,Food and Bait,0.3
2002,Wholesale value,Food and Bait,3.1
2002,Landed value,Roe Herring,37.4
2002,Landings,Roe Herring,26.6
2002,Wholesale value,Roe Herring,113.5
2002,Landed value,Spawn on Kelp,10.6
2002,Landings,Spawn on Kelp,0.4
2002,Wholesale value,Spawn on Kelp,12.8
2002,Landed value,Total,48.4
2002,Landings,Total,27.3
2002,Wholesale value,Total,129.4
2003,Landed value,Food and Bait,0.5
2003,Landings,Food and Bait,1.3
2003,Wholesale value,Food and Bait,3.4
2003,Landed value,Roe Herring,35.3
2003,Landings,Roe Herring,28.8
2003,Wholesale value,Roe Herring,94.6
2003,Landed value,Spawn on Kelp,9.3
2003,Landings,Spawn on Kelp,0.4
2003,Wholesale value,Spawn on Kelp,11.5
2003,Landed value,Total,45.1
2003,Landings,Total,30.5
2003,Wholesale value,Total,109.5
2004,Landed value,Food and Bait,0.5
2004,Landings,Food and Bait,1.3
